曜日時限,授業科目,担当教員,開講区分,開講年度学期,単位数,曜日
月1,F06570 基盤物理学２ 重松 利信,重松　利信,週間授業,2025年度秋学期,2.0単位,1
月1,F06571 物理学基礎論Ⅱ 重松 利信,重松　利信,週間授業,2025年度秋学期,2.0単位,1
月4 月5,F06750 基盤物理学実験 月45,稲垣　祐次／藤田　佳江／池長　志紋,週間授業,2025年度春学期,2.0単位,1
月4 月5,F06751 物理学基礎実験 月45,稲垣　祐次／藤田　佳江／池長　志紋,週間授業,2025年度春学期,2.0単位,1
月4 月5,F06760 基盤物理学実験 月45 稲垣祐次他,稲垣　祐次／重松　利信／藤田　佳江／池長　志紋／松島　康,週間授業,2025年度秋学期,2.0単位,1
月4 月5,F06761 物理学基礎実験 月45 稲垣祐次他,稲垣　祐次／重松　利信／藤田　佳江／池長　志紋／松島　康,週間授業,2025年度秋学期,2.0単位,1
月4 月5,F06800 基盤化学実験 月45,坂根　弦太／堀越　亮／森　義裕／齋藤　亜沙実,週間授業,2025年度春学期,2.0単位,1
月4 月5,F06840 基盤化学実験 月45,堀越　亮／青木　宏之／坂根　弦太／森　義裕／齋藤　亜沙実,週間授業,2025年度秋学期,2.0単位,1
月4 月5,F06841 化学基礎実験 月45,堀越　亮／青木　宏之／坂根　弦太／森　義裕／齋藤　亜沙実,週間授業,2025年度秋学期,2.0単位,1
月4 月5,F06900 基盤地学実験 月45,佐藤　友彦／青木　一勝／山口　一裕,週間授業,2025年度秋学期,2.0単位,1
月4 月5,F06901 地学基礎実験 月45,佐藤　友彦／青木　一勝／山口　一裕,週間授業,2025年度秋学期,2.0単位,1
月3,F07020 情報処理工学,堀　純也,週間授業,2025年度春学期,2.0単位,1
月1,F07040 基礎英語 杉山正二,杉山　正二,週間授業,2025年度春学期,2.0単位,1
月1,F07050 基礎英語 石田美佐江,石田　美佐江,週間授業,2025年度春学期,2.0単位,1
月2,F07120 基盤英語（初級） 〔2年次以上〕,西川　憲一,週間授業,2025年度春学期,2.0単位,1
月1,F07140 基盤英語（初級）,杉山　正二,週間授業,2025年度秋学期,2.0単位,1
月2,F07150 基盤英語（初級）,杉山　正二,週間授業,2025年度秋学期,2.0単位,1
月2,F07250 基盤英語（準中級） 〔2年次以上〕,杉山　正二,週間授業,2025年度春学期,2.0単位,1
月1,F07270 基盤英語（準中級） 太田由佳,太田　由佳,週間授業,2025年度秋学期,2.0単位,1
月1,F07280 基盤英語（準中級） 伊野家伸一,伊野家　伸一,週間授業,2025年度秋学期,2.0単位,1
月2,F07290 基盤英語（準中級） 太田由佳,太田　由佳,週間授業,2025年度秋学期,2.0単位,1
月2,F07300 基盤英語（準中級） 伊野家伸一,伊野家　伸一,週間授業,2025年度秋学期,2.0単位,1
月2,F07490 基盤英語（中級） 〔2年次以上〕,石田　美佐江,週間授業,2025年度春学期,2.0単位,1
月1,F07510 基盤英語（中級）,赤羽　美鳥,週間授業,2025年度秋学期,2.0単位,1
月2,F07520 基盤英語（中級）,赤羽　美鳥,週間授業,2025年度秋学期,2.0単位,1
月2,F07660 基盤英語（上級） 〔2年次以上〕,ジェーン　オハロラン,週間授業,2025年度春学期,2.0単位,1
月1,F07670 基盤英語（上級）,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,週間授業,2025年度秋学期,2.0単位,1
月2,F07680 基盤英語（上級）,ジェーン　オハロラン,週間授業,2025年度秋学期,2.0単位,1
月1,F07820 基礎英会話 デイビッド ニール,デイビッド　ニール,週間授業,2025年度春学期,2.0単位,1
月2,F07830 基礎英会話 デイビッド ニール,デイビッド　ニール,週間授業,2025年度春学期,2.0単位,1
月3,F07880 基礎英会話 バーデン京子,バーデン　京子,週間授業,2025年度春学期,2.0単位,1
月4,F07890 基礎英会話 バーデン京子,バーデン　京子,週間授業,2025年度春学期,2.0単位,1
月3,F08210 英語で文化 ジェーン オハロラン,ジェーン　オハロラン,週間授業,2025年度春学期,2.0単位,1
月3,F08220 英語で文化 西川憲一,西川　憲一,週間授業,2025年度秋学期,2.0単位,1
月4,F08280 英語コミュニケーション ジェーン オハロラン,ジェーン　オハロラン,週間授業,2025年度秋学期,2.0単位,1
月3,F08300 英語コミュニケーション ジエイソン ベイデンメン,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,週間授業,2025年度春学期,2.0単位,1
月1,F08310 英語コミュニケーション ジエイソン ベイデンメン,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,週間授業,2025年度春学期,2.0単位,1
月3,F08370 英語コミュニケーション ジエイソン ベイデンメン,ｼﾞｪｲｿﾝ ﾍﾞｲﾃﾞﾝﾒﾝ,週間授業,2025年度秋学期,2.0単位,1
月2,F08480 初修外国語１ ドイツ語 入江 祐加,入江　祐加,週間授業,2025年度春学期,2.0単位,1
